Age,Income,AdSpend,ClickThroughRate,WebsiteVisits,TimeOnSite,PreviousPurchases,Gender,CampaignChannel,Conversion
56,136912,6497.870068417766,0.043918510735383,0,7.396802580796059,4,Female,Social Media,1
69,41760,3898.6686056807257,0.1557250710553343,42,5.352548601242156,2,Male,Email,1
46,88456,1546.4295957990923,0.2774903687332632,2,13.794901465536537,8,Female,PPC,1
32,44085,539.5259357793692,0.1376112536017239,47,14.688362621260511,0,Female,PPC,1
60,83964,1678.0435726570656,0.2528511065638809,0,13.993370402628964,8,Female,PPC,1
25,42925,9579.388246784005,0.1537946791446816,6,7.75283124173589,0,Female,Social Media,1
38,25615,7302.8998515526,0.0409753864012685,42,10.698671609738582,6,Female,Referral,1
56,57083,5324.283667249509,0.0528779285572571,48,2.9878173820459533,0,Female,Social Media,1
36,140788,9421.250950540458,0.0235359683143721,13,14.287420579067645,5,Female,Email,1
40,130764,6229.193333047879,0.0666412747669137,22,4.613311983530028,8,Male,Social Media,1
28,88319,7283.887363978606,0.2691480889624259,47,3.294720457220691,6,Male,PPC,1
28,29605,2898.2530032081336,0.1985574333235444,16,1.3722992112148078,5,Male,SEO,1
41,131093,5930.920251533039,0.2242685111160442,13,8.480384140532976,4,Male,Email,1
53,64608,1520.4247185486186,0.190281822934065,8,14.252724962307653,2,Male,SEO,1
57,148788,4104.383137457977,0.1220963947201208,20,2.4660296351671014,1,Male,Email,1
41,39192,429.07921736744015,0.0728897285108404,44,2.2520393830350898,1,Female,Email,0
20,23331,2244.6180670685367,0.2784282293628509,1,4.452665667280358,8,Female,PPC,1
39,71330,841.1994312844795,0.1593006366518262,31,10.148211448254632,2,Female,Social Media,1
19,117392,3939.0103131215906,0.1495189655503024,7,8.44329584248851,6,Female,PPC,1
41,69949,8446.048129921053,0.2988701856921282,35,1.8950009240635688,3,Female,PPC,1
61,88382,3841.5476528160257,0.1213396966326582,25,6.913353501464534,6,Female,PPC,1
47,119233,8333.232297346969,0.2576963413187493,36,1.470518152555739,5,Female,SEO,1
55,57586,6599.333294530985,0.2600797774918882,14,12.85260043957216,9,Male,Email,1
19,72243,5144.341521645195,0.0774743610037607,33,2.0531207988121314,3,Female,Referral,1
38,120566,2445.2277632871724,0.037503510781547,20,7.33382552085477,2,Female,Social Media,1
50,144213,9229.345319157108,0.2929298335576006,22,7.901721933466988,3,Female,PPC,1
29,78618,636.5880075361293,0.1335100905993144,8,8.186830947810558,1,Male,Email,0
39,98311,6920.2388752182715,0.0106438933829566,39,9.33274626153203,1,Male,Social Media,1
61,27549,6250.274938812751,0.1547151718103979,25,10.67294510281997,3,Female,Referral,1
42,138168,4466.311070339615,0.1895971054867606,42,0.5631910961814526,2,Female,Referral,1
66,72494,2479.1774573967928,0.2350655917599299,21,0.9482583271575142,4,Male,PPC,1
